_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
Data courtesy of Gapminder.org,1955,7.7,30.332,7.7,31.997,Afghanistan,,
,1960,7.7,31.997,7.7,34.02,Afghanistan,7.7,30.332
,1965,7.7,34.02,7.7,36.088,Afghanistan,7.7,31.997
,1970,7.7,36.088,7.7,38.438,Afghanistan,7.7,34.02
,1975,7.7,38.438,7.8,39.854,Afghanistan,7.7,36.088
,1980,7.8,39.854,7.9,40.822,Afghanistan,7.7,38.438
,1985,7.9,40.822,8.0,41.674,Afghanistan,7.8,39.854
,1990,8.0,41.674,8.0,41.763,Afghanistan,7.9,40.822
,1995,8.0,41.763,7.4792,42.129,Afghanistan,8.0,41.674
,2000,7.4792,42.129,,,Afghanistan,8.0,41.763
,1955,3.1265,64.399,3.0895,65.142,Argentina,,
,1960,3.0895,65.142,3.049,65.634,Argentina,3.1265,64.399
,1965,3.049,65.634,3.1455,67.065,Argentina,3.0895,65.142
,1970,3.1455,67.065,3.44,68.481,Argentina,3.049,65.634
,1975,3.44,68.481,3.15,69.942,Argentina,3.1455,67.065
,1980,3.15,69.942,3.053,70.774,Argentina,3.44,68.481
,1985,3.053,70.774,2.9,71.868,Argentina,3.15,69.942
,1990,2.9,71.868,2.63,73.275,Argentina,3.053,70.774
,1995,2.63,73.275,2.35,74.34,Argentina,2.9,71.868
,2000,2.35,74.34,,,Argentina,2.63,73.275
,1955,5.15,64.381,4.399,66.606,Aruba,,
,1960,4.399,66.606,3.301,68.336,Aruba,5.15,64.381
,1965,3.301,68.336,2.651,70.941,Aruba,4.399,66.606
,1970,2.651,70.941,2.45,71.83,Aruba,3.301,68.336
,1975,2.45,71.83,2.358,74.116,Aruba,2.651,70.941
,1980,2.358,74.116,2.3,74.494,Aruba,2.45,71.83
,1985,2.3,74.494,2.2800000000000002,74.108,Aruba,2.358,74.116
,1990,2.2800000000000002,74.108,2.208,73.011,Aruba,2.3,74.494
,1995,2.208,73.011,2.124,73.451,Aruba,2.2800000000000002,74.108
,2000,2.124,73.451,,,Aruba,2.208,73.011
,1955,3.406,70.33,3.274,70.93,Australia,,
,1960,3.274,70.93,2.871,71.1,Australia,3.406,70.33
,1965,2.871,71.1,2.535,71.93,Australia,3.274,70.93
,1970,2.535,71.93,1.9889999999999999,73.49,Australia,2.871,71.1
,1975,1.9889999999999999,73.49,1.907,74.74,Australia,2.535,71.93
,1980,1.907,74.74,1.859,76.32,Australia,1.9889999999999999,73.49
,1985,1.859,76.32,1.8599999999999999,77.56,Australia,1.907,74.74
,1990,1.8599999999999999,77.56,1.776,78.83,Australia,1.859,76.32
,1995,1.776,78.83,1.756,80.37,Australia,1.8599999999999999,77.56
,2000,1.756,80.37,,,Australia,1.776,78.83
,1955,2.52,67.48,2.7800000000000002,69.54,Austria,,
,1960,2.7800000000000002,69.54,2.5300000000000002,70.14,Austria,2.52,67.48
,1965,2.5300000000000002,70.14,2.02,70.63,Austria,2.7800000000000002,69.54
,1970,2.02,70.63,1.6400000000000001,72.17,Austria,2.5300000000000002,70.14
,1975,1.6400000000000001,72.17,1.62,73.18,Austria,2.02,70.63
,1980,1.62,73.18,1.45,74.94,Austria,1.6400000000000001,72.17
,1985,1.45,74.94,1.47,76.04,Austria,1.62,73.18
,1990,1.47,76.04,1.388,77.51,Austria,1.45,74.94
,1995,1.388,77.51,1.3820000000000001,78.98,Austria,1.47,76.04
,2000,1.3820000000000001,78.98,,,Austria,1.388,77.51
,1955,4.305,62.405,4.503,64.209,Bahamas,,
,1960,4.503,64.209,3.794,65.795,Bahamas,4.305,62.405
,1965,3.794,65.795,3.444,66.515,Bahamas,4.503,64.209
,1970,3.444,66.515,3.221,67.199,Bahamas,3.794,65.795
,1975,3.221,67.199,3.16,67.874,Bahamas,3.444,66.515
,1980,3.16,67.874,2.62,69.524,Bahamas,3.221,67.199
,1985,2.62,69.524,2.6,69.171,Bahamas,3.16,67.874
,1990,2.6,69.171,2.4,68.472,Bahamas,2.62,69.524
,1995,2.4,68.472,2.1111,71.068,Bahamas,2.6,69.171
,2000,2.1111,71.068,,,Bahamas,2.4,68.472
,1955,6.76,39.348,6.85,41.216,Bangladesh,,
,1960,6.85,41.216,6.6,43.453,Bangladesh,6.76,39.348
,1965,6.6,43.453,6.15,45.252,Bangladesh,6.85,41.216
,1970,6.15,45.252,5.6,46.923,Bangladesh,6.6,43.453
,1975,5.6,46.923,5.25,50.009,Bangladesh,6.15,45.252
,1980,5.25,50.009,4.629,52.819,Bangladesh,5.6,46.923
,1985,4.629,52.819,4.117,56.018,Bangladesh,5.25,50.009
,1990,4.117,56.018,3.5042999999999997,59.412,Bangladesh,4.629,52.819
,1995,3.5042999999999997,59.412,3.224,62.013,Bangladesh,4.117,56.018
,2000,3.224,62.013,,,Bangladesh,3.5042999999999997,59.412
,1955,4.67,62.57,4.26,65.87,Barbados,,
,1960,4.26,65.87,3.45,67.62,Barbados,4.67,62.57
,1965,3.45,67.62,2.74,69.42,Barbados,4.26,65.87
,1970,2.74,69.42,2.19,71.27,Barbados,3.45,67.62
,1975,2.19,71.27,1.92,72.695,Barbados,2.74,69.42
,1980,1.92,72.695,1.75,74.027,Barbados,2.19,71.27
,1985,1.75,74.027,1.6,74.894,Barbados,1.92,72.695
,1990,1.6,74.894,1.5,74.912,Barbados,1.75,74.027
,1995,1.5,74.912,1.5,75.97,Barbados,1.6,74.894
,2000,1.5,75.97,,,Barbados,1.5,74.912
,1955,2.496,69.24,2.644,70.25,Belgium,,
,1960,2.644,70.25,2.392,70.94,Belgium,2.496,69.24
,1965,2.392,70.94,2.015,71.44,Belgium,2.644,70.25
,1970,2.015,71.44,1.705,72.8,Belgium,2.392,70.94
,1975,1.705,72.8,1.595,73.93,Belgium,2.015,71.44
,1980,1.595,73.93,1.5590000000000002,75.35,Belgium,1.705,72.8
,1985,1.5590000000000002,75.35,1.613,76.46,Belgium,1.595,73.93
,1990,1.613,76.46,1.604,77.53,Belgium,1.5590000000000002,75.35
,1995,1.604,77.53,1.638,78.32,Belgium,1.613,76.46
,2000,1.638,78.32,,,Belgium,1.604,77.53
,1955,6.75,41.89,6.63,43.428,Bolivia,,
,1960,6.63,43.428,6.5600000000000005,45.032,Bolivia,6.75,41.89
,1965,6.5600000000000005,45.032,6.5,46.714,Bolivia,6.63,43.428
,1970,6.5,46.714,5.8,50.023,Bolivia,6.5600000000000005,45.032
,1975,5.8,50.023,5.2995,53.859,Bolivia,6.5,46.714
,1980,5.2995,53.859,5.0,57.251,Bolivia,5.8,50.023
,1985,5.0,57.251,4.8,59.957,Bolivia,5.2995,53.859
,1990,4.8,59.957,4.324,62.05,Bolivia,5.0,57.251
,1995,4.324,62.05,3.9585,63.883,Bolivia,4.8,59.957
,2000,3.9585,63.883,,,Bolivia,4.324,62.05
,1955,6.1501,53.285,6.1501,55.665,Brazil,,
,1960,6.1501,55.665,5.38,57.632,Brazil,6.1501,53.285
,1965,5.38,57.632,4.7175,59.504,Brazil,6.1501,55.665
,1970,4.7175,59.504,4.305,61.489,Brazil,5.38,57.632
,1975,4.305,61.489,3.8,63.336,Brazil,4.7175,59.504
,1980,3.8,63.336,3.1,65.205,Brazil,4.305,61.489
,1985,3.1,65.205,2.6,67.057,Brazil,3.8,63.336
,1990,2.6,67.057,2.45,69.388,Brazil,3.1,65.205
,1995,2.45,69.388,2.345,71.006,Brazil,2.6,67.057
,2000,2.345,71.006,,,Brazil,2.45,69.388
,1955,3.882,69.96,3.675,71.3,Canada,,
,1960,3.675,71.3,2.61,72.13,Canada,3.882,69.96
,1965,2.61,72.13,1.976,72.88,Canada,3.675,71.3
,1970,1.976,72.88,1.734,74.21,Canada,2.61,72.13
,1975,1.734,74.21,1.634,75.76,Canada,1.976,72.88
,1980,1.634,75.76,1.616,76.86,Canada,1.734,74.21
,1985,1.616,76.86,1.694,77.95,Canada,1.634,75.76
,1990,1.694,77.95,1.564,78.61,Canada,1.616,76.86
,1995,1.564,78.61,1.522,79.77,Canada,1.694,77.95
,2000,1.522,79.77,,,Canada,1.564,78.61
,1955,5.486,56.074,5.4385,57.924,Chile,,
,1960,5.4385,57.924,4.4405,60.523,Chile,5.486,56.074
,1965,4.4405,60.523,3.63,63.441,Chile,5.4385,57.924
,1970,3.63,63.441,2.803,67.052,Chile,4.4405,60.523
,1975,2.803,67.052,2.6710000000000003,70.565,Chile,3.63,63.441
,1980,2.6710000000000003,70.565,2.65,72.492,Chile,2.803,67.052
,1985,2.65,72.492,2.55,74.126,Chile,2.6710000000000003,70.565
,1990,2.55,74.126,2.21,75.816,Chile,2.65,72.492
,1995,2.21,75.816,2.0,77.86,Chile,2.55,74.126
,2000,2.0,77.86,,,Chile,2.21,75.816
,1955,5.59,50.54896,5.72,44.50136,China,,
,1960,5.72,44.50136,6.06,58.38112,China,5.59,50.54896
,1965,6.06,58.38112,4.86,63.11888,China,5.72,44.50136
,1970,4.86,63.11888,3.32,63.96736,China,6.06,58.38112
,1975,3.32,63.96736,2.55,65.525,China,4.86,63.11888
,1980,2.55,65.525,2.46,67.274,China,3.32,63.96736
,1985,2.46,67.274,1.92,68.69,China,2.55,65.525
,1990,1.92,68.69,1.7810000000000001,70.426,China,2.46,67.274
,1995,1.7810000000000001,70.426,1.7000000000000002,72.028,China,1.92,68.69
,2000,1.7000000000000002,72.028,,,China,1.7810000000000001,70.426
,1955,6.76,55.118,6.76,57.863,Colombia,,
,1960,6.76,57.863,6.18,59.963,Colombia,6.76,55.118
,1965,6.18,59.963,5.0005,61.623,Colombia,6.76,57.863
,1970,5.0005,61.623,4.3385,63.837,Colombia,6.18,59.963
,1975,4.3385,63.837,3.685,66.653,Colombia,5.0005,61.623
,1980,3.685,66.653,3.172,67.768,Colombia,4.3385,63.837
,1985,3.172,67.768,2.93005,68.421,Colombia,3.685,66.653
,1990,2.93005,68.421,2.7,70.313,Colombia,3.172,67.768
,1995,2.7,70.313,2.4705,71.682,Colombia,2.93005,68.421
,2000,2.4705,71.682,,,Colombia,2.7,70.313
,1955,7.1135,60.026,7.2245,62.842,Costa Rica,,
,1960,7.2245,62.842,5.801,65.424,Costa Rica,7.1135,60.026
,1965,5.801,65.424,4.346,67.849,Costa Rica,7.2245,62.842
,1970,4.346,67.849,3.7755,70.75,Costa Rica,5.801,65.424
,1975,3.7755,70.75,3.527,73.45,Costa Rica,4.346,67.849
,1980,3.527,73.45,3.374,74.752,Costa Rica,3.7755,70.75
,1985,3.374,74.752,2.9450000000000003,75.713,Costa Rica,3.527,73.45
,1990,2.9450000000000003,75.713,2.5835,77.26,Costa Rica,3.374,74.752
,1995,2.5835,77.26,2.2815,78.123,Costa Rica,2.9450000000000003,75.713
,2000,2.2815,78.123,,,Costa Rica,2.5835,77.26
,1955,2.42,64.77,2.27,67.13,Croatia,,
,1960,2.27,67.13,2.09,68.5,Croatia,2.42,64.77
,1965,2.09,68.5,1.96,69.61,Croatia,2.27,67.13
,1970,1.96,69.61,2.02,70.64,Croatia,2.09,68.5
,1975,2.02,70.64,1.96,70.46,Croatia,1.96,69.61
,1980,1.96,70.46,1.8399999999999999,71.52,Croatia,2.02,70.64
,1985,1.8399999999999999,71.52,1.52,72.527,Croatia,1.96,70.46
,1990,1.52,72.527,1.537,73.68,Croatia,1.8399999999999999,71.52
,1995,1.537,73.68,1.348,74.876,Croatia,1.52,72.527
,2000,1.348,74.876,,,Croatia,1.537,73.68
,1955,3.6995,62.325,4.6805,65.246,Cuba,,
,1960,4.6805,65.246,4.3,68.29,Cuba,3.6995,62.325
,1965,4.3,68.29,3.6,70.723,Cuba,4.6805,65.246
,1970,3.6,70.723,2.15,72.649,Cuba,4.3,68.29
,1975,2.15,72.649,1.8495,73.717,Cuba,3.6,70.723
,1980,1.8495,73.717,1.8495,74.174,Cuba,2.15,72.649
,1985,1.8495,74.174,1.6505,74.414,Cuba,1.8495,73.717
,1990,1.6505,74.414,1.6095000000000002,76.151,Cuba,1.8495,74.174
,1995,1.6095000000000002,76.151,1.63,77.158,Cuba,1.6505,74.414
,2000,1.63,77.158,,,Cuba,1.6095000000000002,76.151
,1955,7.6405,49.828,7.3505,53.459,Dominican Republic,,
,1960,7.3505,53.459,6.6495,56.751,Dominican Republic,7.6405,49.828
,1965,6.6495,56.751,5.71,59.631,Dominican Republic,7.3505,53.459
,1970,5.71,59.631,4.76,61.788,Dominican Republic,6.6495,56.751
,1975,4.76,61.788,4.0,63.727,Dominican Republic,5.71,59.631
,1980,4.0,63.727,3.47,66.046,Dominican Republic,4.76,61.788
,1985,3.47,66.046,3.1995,68.457,Dominican Republic,4.0,63.727
,1990,3.1995,68.457,3.05,69.957,Dominican Republic,3.47,66.046
,1995,3.05,69.957,2.95,70.847,Dominican Republic,3.1995,68.457
,2000,2.95,70.847,,,Dominican Republic,3.05,69.957
,1955,6.7,51.356,6.7,54.64,Ecuador,,
,1960,6.7,54.64,6.5,56.678,Ecuador,6.7,51.356
,1965,6.5,56.678,6.0005,58.796,Ecuador,6.7,54.64
,1970,6.0005,58.796,5.4005,61.31,Ecuador,6.5,56.678
,1975,5.4005,61.31,4.7005,64.342,Ecuador,6.0005,58.796
,1980,4.7005,64.342,4.0,67.231,Ecuador,5.4005,61.31
,1985,4.0,67.231,3.4005,69.613,Ecuador,4.7005,64.342
,1990,3.4005,69.613,3.1,72.312,Ecuador,4.0,67.231
,1995,3.1,72.312,2.8175,74.173,Ecuador,3.4005,69.613
,2000,2.8175,74.173,,,Ecuador,3.1,72.312
,1955,6.97,44.444,7.073,46.992,Egypt,,
,1960,7.073,46.992,6.5600000000000005,49.293,Egypt,6.97,44.444
,1965,6.5600000000000005,49.293,5.855,51.137,Egypt,7.073,46.992
,1970,5.855,51.137,5.609,53.319,Egypt,6.5600000000000005,49.293
,1975,5.609,53.319,5.332,56.006,Egypt,5.855,51.137
,1980,5.332,56.006,4.833,59.797,Egypt,5.609,53.319
,1985,4.833,59.797,3.908,63.674,Egypt,5.332,56.006
,1990,3.908,63.674,3.5,67.217,Egypt,4.833,59.797
,1995,3.5,67.217,3.174,69.806,Egypt,3.908,63.674
,2000,3.174,69.806,,,Egypt,3.5,67.217
,1955,6.8065,48.57,6.8469999999999995,52.307,El Salvador,,
,1960,6.8469999999999995,52.307,6.621,55.855,El Salvador,6.8065,48.57
,1965,6.621,55.855,6.0995,58.207,El Salvador,6.8469999999999995,52.307
,1970,6.0995,58.207,5.5996,56.696,El Salvador,6.621,55.855
,1975,5.5996,56.696,4.5,56.604,El Salvador,6.0995,58.207
,1980,4.5,56.604,3.901,63.154,El Salvador,5.5996,56.696
,1985,3.901,63.154,3.52,66.798,El Salvador,4.5,56.604
,1990,3.52,66.798,3.17,69.535,El Salvador,3.901,63.154
,1995,3.17,69.535,2.883,70.734,El Salvador,3.52,66.798
,2000,2.883,70.734,,,El Salvador,3.17,69.535
,1955,2.769,67.49,2.66,68.75,Finland,,
,1960,2.66,68.75,2.191,69.83,Finland,2.769,67.49
,1965,2.191,69.83,1.623,70.87,Finland,2.66,68.75
,1970,1.623,70.87,1.663,72.52,Finland,2.191,69.83
,1975,1.663,72.52,1.685,74.55,Finland,1.623,70.87
,1980,1.685,74.55,1.6600000000000001,74.83,Finland,1.663,72.52
,1985,1.6600000000000001,74.83,1.819,75.7,Finland,1.685,74.55
,1990,1.819,75.7,1.7429999999999999,77.13,Finland,1.6600000000000001,74.83
,1995,1.7429999999999999,77.13,1.754,78.37,Finland,1.819,75.7
,2000,1.754,78.37,,,Finland,1.7429999999999999,77.13
,1955,2.7119999999999997,68.93,2.85,70.51,France,,
,1960,2.85,70.51,2.607,71.55,France,2.7119999999999997,68.93
,1965,2.607,71.55,2.31,72.38,France,2.85,70.51
,1970,2.31,72.38,1.862,73.83,France,2.607,71.55
,1975,1.862,73.83,1.866,74.89,France,2.31,72.38
,1980,1.866,74.89,1.8050000000000002,76.34,France,1.862,73.83
,1985,1.8050000000000002,76.34,1.713,77.46,France,1.866,74.89
,1990,1.713,77.46,1.7624,78.64,France,1.8050000000000002,76.34
,1995,1.7624,78.64,1.8833000000000002,79.59,France,1.713,77.46
,2000,1.8833000000000002,79.59,,,France,1.7624,78.64
,1955,2.909,62.625,2.979,64.644,Georgia,,
,1960,2.979,64.644,2.6109999999999998,66.654,Georgia,2.909,62.625
,1965,2.6109999999999998,66.654,2.601,68.158,Georgia,2.979,64.644
,1970,2.601,68.158,2.39,69.634,Georgia,2.6109999999999998,66.654
,1975,2.39,69.634,2.269,69.638,Georgia,2.601,68.158
,1980,2.269,69.638,2.263,70.45,Georgia,2.39,69.634
,1985,2.263,70.45,1.9500000000000002,70.465,Georgia,2.269,69.638
,1990,1.9500000000000002,70.465,1.58,70.49,Georgia,2.263,70.45
,1995,1.58,70.49,1.478,70.476,Georgia,1.9500000000000002,70.465
,2000,1.478,70.476,,,Georgia,1.58,70.49
,1955,2.3,69.1,2.49,70.3,Germany,,
,1960,2.49,70.3,2.32,70.8,Germany,2.3,69.1
,1965,2.32,70.8,1.6400000000000001,71.0,Germany,2.49,70.3
,1970,1.6400000000000001,71.0,1.52,72.5,Germany,2.32,70.8
,1975,1.52,72.5,1.46,73.8,Germany,1.6400000000000001,71.0
,1980,1.46,73.8,1.43,74.847,Germany,1.52,72.5
,1985,1.43,74.847,1.31,76.07,Germany,1.46,73.8
,1990,1.31,76.07,1.34,77.34,Germany,1.43,74.847
,1995,1.34,77.34,1.346,78.67,Germany,1.31,76.07
,2000,1.346,78.67,,,Germany,1.34,77.34
,1955,2.27,67.86,2.2,69.51,Greece,,
,1960,2.2,69.51,2.38,71.0,Greece,2.27,67.86
,1965,2.38,71.0,2.32,72.34,Greece,2.2,69.51
,1970,2.32,72.34,2.32,73.68,Greece,2.38,71.0
,1975,2.32,73.68,1.96,75.24,Greece,2.32,72.34
,1980,1.96,75.24,1.53,76.67,Greece,2.32,73.68
,1985,1.53,76.67,1.37,77.03,Greece,1.96,75.24
,1990,1.37,77.03,1.296,77.869,Greece,1.53,76.67
,1995,1.296,77.869,1.2770000000000001,78.256,Greece,1.37,77.03
,2000,1.2770000000000001,78.256,,,Greece,1.296,77.869
,1955,6.7,63.114,6.4,63.608,Grenada,,
,1960,6.4,63.608,4.8,64.091,Grenada,6.7,63.114
,1965,4.8,64.091,4.6,64.577,Grenada,6.4,63.608
,1970,4.6,64.577,4.3,65.035,Grenada,4.8,64.091
,1975,4.3,65.035,4.23,65.503,Grenada,4.6,64.577
,1980,4.23,65.503,4.14,66.002,Grenada,4.3,65.035
,1985,4.14,66.002,3.26,66.469,Grenada,4.23,65.503
,1990,3.26,66.469,2.814,66.986,Grenada,4.14,66.002
,1995,2.814,66.986,2.429,67.746,Grenada,3.26,66.469
,2000,2.429,67.746,,,Grenada,2.814,66.986
,1955,6.3,40.696,6.3,43.59,Haiti,,
,1960,6.3,43.59,6.0,46.243,Haiti,6.3,40.696
,1965,6.0,46.243,5.6005,48.042,Haiti,6.3,43.59
,1970,5.6005,48.042,5.8,49.923,Haiti,6.0,46.243
,1975,5.8,49.923,6.2099,51.461,Haiti,5.6005,48.042
,1980,6.2099,51.461,5.69985,53.636,Haiti,5.8,49.923
,1985,5.69985,53.636,5.14985,55.089,Haiti,6.2099,51.461
,1990,5.14985,55.089,4.61995,56.671,Haiti,5.69985,53.636
,1995,4.61995,56.671,4.0,58.137,Haiti,5.14985,55.089
,2000,4.0,58.137,,,Haiti,4.61995,56.671
,1955,4.72,64.75,5.31,67.65,Hong Kong,,
,1960,5.31,67.65,4.02,70.0,Hong Kong,4.72,64.75
,1965,4.02,70.0,2.89,72.0,Hong Kong,5.31,67.65
,1970,2.89,72.0,2.32,73.6,Hong Kong,4.02,70.0
,1975,2.32,73.6,1.8,75.45,Hong Kong,2.89,72.0
,1980,1.8,75.45,1.31,76.2,Hong Kong,2.32,73.6
,1985,1.31,76.2,1.288,77.601,Hong Kong,1.8,75.45
,1990,1.288,77.601,1.08,80.0,Hong Kong,1.31,76.2
,1995,1.08,80.0,0.9400000000000001,81.495,Hong Kong,1.288,77.601
,2000,0.9400000000000001,81.495,,,Hong Kong,1.08,80.0
,1955,4.023,73.47,3.943,73.68,Iceland,,
,1960,3.943,73.68,3.154,73.73,Iceland,4.023,73.47
,1965,3.154,73.73,2.843,74.46,Iceland,3.943,73.68
,1970,2.843,74.46,2.287,76.11,Iceland,3.154,73.73
,1975,2.287,76.11,2.248,76.99,Iceland,2.843,74.46
,1980,2.248,76.99,2.116,77.23,Iceland,2.287,76.11
,1985,2.116,77.23,2.194,78.77,Iceland,2.248,76.99
,1990,2.194,78.77,2.056,78.95,Iceland,2.116,77.23
,1995,2.056,78.95,1.9929999999999999,80.5,Iceland,2.194,78.77
,2000,1.9929999999999999,80.5,,,Iceland,2.056,78.95
