_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1955,5.8961,40.249,5.8216,43.605,India,,
,1960,5.8216,43.605,5.6058,47.193,India,5.8961,40.249
,1965,5.6058,47.193,5.264,50.651,India,5.8216,43.605
,1970,5.264,50.651,4.8888,54.208,India,5.6058,47.193
,1975,4.8888,54.208,4.4975,56.596,India,5.264,50.651
,1980,4.4975,56.596,4.15,58.553,India,4.8888,54.208
,1985,4.15,58.553,3.8648,60.223,India,4.4975,56.596
,1990,3.8648,60.223,3.4551,61.765,India,4.15,58.553
,1995,3.4551,61.765,3.1132,62.879,India,3.8648,60.223
,2000,3.1132,62.879,,,India,3.4551,61.765
,1955,5.672,39.918,5.62,42.518,Indonesia,,
,1960,5.62,42.518,5.568,45.964,Indonesia,5.672,39.918
,1965,5.568,45.964,5.3,49.203,Indonesia,5.62,42.518
,1970,5.3,49.203,4.73,52.702,Indonesia,5.568,45.964
,1975,4.73,52.702,4.109,56.159,Indonesia,5.3,49.203
,1980,4.109,56.159,3.4,60.137,Indonesia,4.73,52.702
,1985,3.4,60.137,2.9,62.681,Indonesia,4.109,56.159
,1990,2.9,62.681,2.55,66.041,Indonesia,3.4,60.137
,1995,2.55,66.041,2.3761,68.588,Indonesia,2.9,62.681
,2000,2.3761,68.588,,,Indonesia,2.55,66.041
,1955,7.0,47.181,7.0,49.325,Iran,,
,1960,7.0,49.325,6.8,52.469,Iran,7.0,47.181
,1965,6.8,52.469,6.4,55.234,Iran,7.0,49.325
,1970,6.4,55.234,6.5,57.702,Iran,6.8,52.469
,1975,6.5,57.702,6.63,59.62,Iran,6.4,55.234
,1980,6.63,59.62,5.62,63.04,Iran,6.5,57.702
,1985,5.62,63.04,4.328,65.742,Iran,6.63,59.62
,1990,4.328,65.742,2.534,68.042,Iran,5.62,63.04
,1995,2.534,68.042,2.124,69.451,Iran,4.328,65.742
,2000,2.124,69.451,,,Iran,2.534,68.042
,1955,7.3,48.437,7.25,51.457,Iraq,,
,1960,7.25,51.457,7.2,54.459,Iraq,7.3,48.437
,1965,7.2,54.459,7.15,56.95,Iraq,7.25,51.457
,1970,7.15,56.95,6.8,60.413,Iraq,7.2,54.459
,1975,6.8,60.413,6.35,62.038,Iraq,7.15,56.95
,1980,6.35,62.038,6.15,65.044,Iraq,6.8,60.413
,1985,6.15,65.044,5.7,59.461,Iraq,6.35,62.038
,1990,5.7,59.461,5.37,58.811,Iraq,6.15,65.044
,1995,5.37,58.811,4.858,57.046,Iraq,5.7,59.461
,2000,4.858,57.046,,,Iraq,5.37,58.811
,1955,3.68,68.9,3.979,70.29,Ireland,,
,1960,3.979,70.29,3.873,71.08,Ireland,3.68,68.9
,1965,3.873,71.08,3.815,71.28,Ireland,3.979,70.29
,1970,3.815,71.28,3.478,72.03,Ireland,3.873,71.08
,1975,3.478,72.03,2.877,73.1,Ireland,3.815,71.28
,1980,2.877,73.1,2.287,74.36,Ireland,3.478,72.03
,1985,2.287,74.36,1.9689999999999999,75.467,Ireland,2.877,73.1
,1990,1.9689999999999999,75.467,1.9,76.122,Ireland,2.287,74.36
,1995,1.9,76.122,1.9689999999999999,77.783,Ireland,1.9689999999999999,75.467
,2000,1.9689999999999999,77.783,,,Ireland,1.9,76.122
,1955,3.893,67.84,3.852,69.39,Israel,,
,1960,3.852,69.39,3.79,70.75,Israel,3.893,67.84
,1965,3.79,70.75,3.77,71.63,Israel,3.852,69.39
,1970,3.77,71.63,3.409,73.06,Israel,3.79,70.75
,1975,3.409,73.06,3.125,74.45,Israel,3.77,71.63
,1980,3.125,74.45,3.051,75.6,Israel,3.409,73.06
,1985,3.051,75.6,2.933,76.93,Israel,3.125,74.45
,1990,2.933,76.93,2.942,78.269,Israel,3.051,75.6
,1995,2.942,78.269,2.906,79.696,Israel,2.933,76.93
,2000,2.906,79.696,,,Israel,2.942,78.269
,1955,2.35,67.81,2.498,69.24,Italy,,
,1960,2.498,69.24,2.493,71.06,Italy,2.35,67.81
,1965,2.493,71.06,2.325,72.19,Italy,2.498,69.24
,1970,2.325,72.19,1.889,73.48,Italy,2.493,71.06
,1975,1.889,73.48,1.53,74.98,Italy,2.325,72.19
,1980,1.53,74.98,1.349,76.42,Italy,1.889,73.48
,1985,1.349,76.42,1.275,77.44,Italy,1.53,74.98
,1990,1.275,77.44,1.213,78.82,Italy,1.349,76.42
,1995,1.213,78.82,1.286,80.24,Italy,1.275,77.44
,2000,1.286,80.24,,,Italy,1.213,78.82
,1955,5.08,62.61,5.64,65.61,Jamaica,,
,1960,5.64,65.61,5.78,67.51,Jamaica,5.08,62.61
,1965,5.78,67.51,5.0,69.0,Jamaica,5.64,65.61
,1970,5.0,69.0,4.0,70.11,Jamaica,5.78,67.51
,1975,4.0,70.11,3.55,71.21,Jamaica,5.0,69.0
,1980,3.55,71.21,3.1,71.77,Jamaica,4.0,70.11
,1985,3.1,71.77,2.84,71.766,Jamaica,3.55,71.21
,1990,2.84,71.766,2.67,72.262,Jamaica,3.1,71.77
,1995,2.67,72.262,2.628,72.047,Jamaica,2.84,71.766
,2000,2.628,72.047,,,Jamaica,2.67,72.262
,1955,2.08,65.5,2.02,68.73,Japan,,
,1960,2.02,68.73,2.0,71.43,Japan,2.08,65.5
,1965,2.0,71.43,2.07,73.42,Japan,2.02,68.73
,1970,2.07,73.42,1.81,75.38,Japan,2.0,71.43
,1975,1.81,75.38,1.76,77.11,Japan,2.07,73.42
,1980,1.76,77.11,1.6600000000000001,78.67,Japan,1.81,75.38
,1985,1.6600000000000001,78.67,1.49,79.36,Japan,1.76,77.11
,1990,1.49,79.36,1.3900000000000001,80.69,Japan,1.6600000000000001,78.67
,1995,1.3900000000000001,80.69,1.291,82.0,Japan,1.49,79.36
,2000,1.291,82.0,,,Japan,1.3900000000000001,80.69
,1955,7.816,44.686,8.12,47.949,Kenya,,
,1960,8.12,47.949,8.12,50.654,Kenya,7.816,44.686
,1965,8.12,50.654,8.0,53.559,Kenya,8.12,47.949
,1970,8.0,53.559,7.6,56.155,Kenya,8.12,50.654
,1975,7.6,56.155,7.2,58.766,Kenya,8.0,53.559
,1980,7.2,58.766,6.5,59.339,Kenya,7.6,56.155
,1985,6.5,59.339,5.4,59.285,Kenya,7.2,58.766
,1990,5.4,59.285,5.0,54.407,Kenya,6.5,59.339
,1995,5.0,54.407,5.0,50.992,Kenya,5.4,59.285
,2000,5.0,50.992,,,Kenya,5.0,54.407
,1955,3.8,54.081,3.41,56.656,South Korea,,
,1960,3.41,56.656,4.09,59.942,South Korea,3.8,54.081
,1965,4.09,59.942,3.7199999999999998,63.983,South Korea,3.41,56.656
,1970,3.7199999999999998,63.983,2.58,67.159,South Korea,4.09,59.942
,1975,2.58,67.159,2.93,69.1,South Korea,3.7199999999999998,63.983
,1980,2.93,69.1,2.45,70.647,South Korea,2.58,67.159
,1985,2.45,70.647,2.35,69.978,South Korea,2.93,69.1
,1990,2.35,69.978,2.0938,67.727,South Korea,2.45,70.647
,1995,2.0938,67.727,1.9173,66.662,South Korea,2.35,69.978
,2000,1.9173,66.662,,,South Korea,2.0938,67.727
,1955,6.332,52.681,5.63,55.292,North Korea,,
,1960,5.63,55.292,4.708,57.716,North Korea,6.332,52.681
,1965,4.708,57.716,4.281,62.612,North Korea,5.63,55.292
,1970,4.281,62.612,2.919,64.766,North Korea,4.708,57.716
,1975,2.919,64.766,2.234,67.123,North Korea,4.281,62.612
,1980,2.234,67.123,1.601,69.81,North Korea,2.919,64.766
,1985,1.601,69.81,1.6960000000000002,72.244,North Korea,2.234,67.123
,1990,1.6960000000000002,72.244,1.514,74.647,North Korea,1.601,69.81
,1995,1.514,74.647,1.242,77.045,North Korea,1.6960000000000002,72.244
,2000,1.242,77.045,,,North Korea,1.514,74.647
,1955,5.72,59.489,5.689,62.094,Lebanon,,
,1960,5.689,62.094,5.336,63.87,Lebanon,5.72,59.489
,1965,5.336,63.87,4.78,65.421,Lebanon,5.689,62.094
,1970,4.78,65.421,4.311,66.099,Lebanon,5.336,63.87
,1975,4.311,66.099,3.895,66.983,Lebanon,4.78,65.421
,1980,3.895,66.983,3.313,67.926,Lebanon,4.311,66.099
,1985,3.313,67.926,3.0,69.292,Lebanon,3.895,66.983
,1990,3.0,69.292,2.6950000000000003,70.265,Lebanon,3.313,67.926
,1995,2.6950000000000003,70.265,2.319,71.028,Lebanon,3.0,69.292
,2000,2.319,71.028,,,Lebanon,2.6950000000000003,70.265
,1955,6.8,55.19,6.7495,58.299,Mexico,,
,1960,6.7495,58.299,6.7495,60.11,Mexico,6.8,55.19
,1965,6.7495,60.11,6.5,62.361,Mexico,6.7495,58.299
,1970,6.5,62.361,5.2505,65.032,Mexico,6.7495,60.11
,1975,5.2505,65.032,4.25,67.405,Mexico,6.5,62.361
,1980,4.25,67.405,3.6295,69.498,Mexico,5.2505,65.032
,1985,3.6295,69.498,3.1905,71.455,Mexico,4.25,67.405
,1990,3.1905,71.455,2.6705,73.67,Mexico,3.6295,69.498
,1995,2.6705,73.67,2.4005,74.902,Mexico,3.1905,71.455
,2000,2.4005,74.902,,,Mexico,2.6705,73.67
,1955,3.095,72.99,3.168,73.23,Netherlands,,
,1960,3.168,73.23,2.797,73.82,Netherlands,3.095,72.99
,1965,2.797,73.82,2.059,73.75,Netherlands,3.168,73.23
,1970,2.059,73.75,1.596,75.24,Netherlands,2.797,73.82
,1975,1.596,75.24,1.5150000000000001,76.05,Netherlands,2.059,73.75
,1980,1.5150000000000001,76.05,1.5550000000000002,76.83,Netherlands,1.596,75.24
,1985,1.5550000000000002,76.83,1.583,77.42,Netherlands,1.5150000000000001,76.05
,1990,1.583,77.42,1.6,78.03,Netherlands,1.5550000000000002,76.83
,1995,1.6,78.03,1.726,78.53,Netherlands,1.583,77.42
,2000,1.726,78.53,,,Netherlands,1.6,78.03
,1955,4.07,70.26,4.022,71.24,New Zealand,,
,1960,4.022,71.24,3.348,71.52,New Zealand,4.07,70.26
,1965,3.348,71.52,2.843,71.89,New Zealand,4.022,71.24
,1970,2.843,71.89,2.178,72.22,New Zealand,3.348,71.52
,1975,2.178,72.22,1.963,73.84,New Zealand,2.843,71.89
,1980,1.963,73.84,2.053,74.32,New Zealand,2.178,72.22
,1985,2.053,74.32,2.061,76.33,New Zealand,1.963,73.84
,1990,2.061,76.33,1.952,77.55,New Zealand,2.053,74.32
,1995,1.952,77.55,1.964,79.11,New Zealand,2.061,76.33
,2000,1.964,79.11,,,New Zealand,1.952,77.55
,1955,6.9,37.802,6.9,39.36,Nigeria,,
,1960,6.9,39.36,6.9,41.04,Nigeria,6.9,37.802
,1965,6.9,41.04,6.9,42.821,Nigeria,6.9,39.36
,1970,6.9,42.821,6.9,44.514,Nigeria,6.9,41.04
,1975,6.9,44.514,6.9,45.826,Nigeria,6.9,42.821
,1980,6.9,45.826,6.834,46.886,Nigeria,6.9,44.514
,1985,6.834,46.886,6.635,47.472,Nigeria,6.9,45.826
,1990,6.635,47.472,6.246,47.464,Nigeria,6.834,46.886
,1995,6.246,47.464,5.845,46.608,Nigeria,6.635,47.472
,2000,5.845,46.608,,,Nigeria,6.246,47.464
,1955,2.8369999999999997,73.44,2.898,73.47,Norway,,
,1960,2.898,73.47,2.719,74.08,Norway,2.8369999999999997,73.44
,1965,2.719,74.08,2.248,74.34,Norway,2.898,73.47
,1970,2.248,74.34,1.81,75.37,Norway,2.719,74.08
,1975,1.81,75.37,1.687,75.97,Norway,2.248,74.34
,1980,1.687,75.97,1.8,75.89,Norway,1.81,75.37
,1985,1.8,75.89,1.8860000000000001,77.32,Norway,1.687,75.97
,1990,1.8860000000000001,77.32,1.853,78.32,Norway,1.8,75.89
,1995,1.853,78.32,1.8010000000000002,79.05,Norway,1.8860000000000001,77.32
,2000,1.8010000000000002,79.05,,,Norway,1.853,78.32
,1955,6.6,45.557,6.6,47.67,Pakistan,,
,1960,6.6,47.67,6.6,49.8,Pakistan,6.6,45.557
,1965,6.6,49.8,6.6,51.929,Pakistan,6.6,47.67
,1970,6.6,51.929,6.6,54.043,Pakistan,6.6,49.8
,1975,6.6,54.043,6.6,56.158,Pakistan,6.6,51.929
,1980,6.6,56.158,6.66,58.245,Pakistan,6.6,54.043
,1985,6.66,58.245,5.8,60.838,Pakistan,6.6,56.158
,1990,5.8,60.838,4.9596,61.818,Pakistan,6.66,58.245
,1995,4.9596,61.818,3.9936,63.61,Pakistan,5.8,60.838
,2000,3.9936,63.61,,,Pakistan,4.9596,61.818
,1955,6.853,46.263,6.853,49.096,Peru,,
,1960,6.853,49.096,6.5600000000000005,51.445,Peru,6.853,46.263
,1965,6.5600000000000005,51.445,6.0,55.448,Peru,6.853,49.096
,1970,6.0,55.448,5.378,58.447,Peru,6.5600000000000005,51.445
,1975,5.378,58.447,4.65,61.406,Peru,6.0,55.448
,1980,4.65,61.406,4.1,64.134,Peru,5.378,58.447
,1985,4.1,64.134,3.7,66.458,Peru,4.65,61.406
,1990,3.7,66.458,3.0995,68.386,Peru,4.1,64.134
,1995,3.0995,68.386,2.7005,69.906,Peru,3.7,66.458
,2000,2.7005,69.906,,,Peru,3.0995,68.386
,1955,7.13,51.334,6.85,54.757,Philippines,,
,1960,6.85,54.757,6.5,56.393,Philippines,7.13,51.334
,1965,6.5,56.393,6.0,58.065,Philippines,6.85,54.757
,1970,6.0,58.065,5.5,60.06,Philippines,6.5,56.393
,1975,5.5,60.06,4.95,62.082,Philippines,6.0,58.065
,1980,4.95,62.082,4.55,64.151,Philippines,5.5,60.06
,1985,4.55,64.151,4.143,66.458,Philippines,4.95,62.082
,1990,4.143,66.458,3.7248,68.564,Philippines,4.55,64.151
,1995,3.7248,68.564,3.5436,70.303,Philippines,4.143,66.458
,2000,3.5436,70.303,,,Philippines,3.7248,68.564
,1955,3.29,65.77,2.65,67.64,Poland,,
,1960,2.65,67.64,2.27,69.61,Poland,3.29,65.77
,1965,2.27,69.61,2.25,70.85,Poland,2.65,67.64
,1970,2.25,70.85,2.26,70.67,Poland,2.27,69.61
,1975,2.26,70.67,2.33,71.32,Poland,2.25,70.85
,1980,2.33,71.32,2.15,70.98,Poland,2.26,70.67
,1985,2.15,70.98,1.8900000000000001,70.99,Poland,2.33,71.32
,1990,1.8900000000000001,70.99,1.478,72.75,Poland,2.15,70.98
,1995,1.478,72.75,1.251,74.67,Poland,1.8900000000000001,70.99
,2000,1.251,74.67,,,Poland,1.478,72.75
,1955,3.03,61.51,3.074,64.39,Portugal,,
,1960,3.074,64.39,2.849,66.6,Portugal,3.03,61.51
,1965,2.849,66.6,2.748,69.26,Portugal,3.074,64.39
,1970,2.748,69.26,2.41,70.41,Portugal,2.849,66.6
,1975,2.41,70.41,1.982,72.77,Portugal,2.748,69.26
,1980,1.982,72.77,1.5939999999999999,74.06,Portugal,2.41,70.41
,1985,1.5939999999999999,74.06,1.516,74.86,Portugal,1.982,72.77
,1990,1.516,74.86,1.475,75.97,Portugal,1.5939999999999999,74.06
,1995,1.475,75.97,1.454,77.29,Portugal,1.516,74.86
,2000,1.454,77.29,,,Portugal,1.475,75.97
,1955,8.0,41.5,8.1,43.0,Rwanda,,
,1960,8.1,43.0,8.2,44.1,Rwanda,8.0,41.5
,1965,8.2,44.1,8.29,44.6,Rwanda,8.1,43.0
,1970,8.29,44.6,8.492,45.0,Rwanda,8.2,44.1
,1975,8.492,45.0,8.5,46.218,Rwanda,8.29,44.6
,1980,8.5,46.218,8.25,44.02,Rwanda,8.492,45.0
,1985,8.25,44.02,6.9,23.599,Rwanda,8.5,46.218
,1990,6.9,23.599,6.0993,36.087,Rwanda,8.25,44.02
,1995,6.0993,36.087,6.01,43.413,Rwanda,6.9,23.599
,2000,6.01,43.413,,,Rwanda,6.0993,36.087
,1955,7.175,42.868,7.257,45.914,Saudi Arabia,,
,1960,7.257,45.914,7.257,49.901,Saudi Arabia,7.175,42.868
,1965,7.257,49.901,7.298,53.886,Saudi Arabia,7.257,45.914
,1970,7.298,53.886,7.2780000000000005,58.69,Saudi Arabia,7.257,49.901
,1975,7.2780000000000005,58.69,7.015,63.012,Saudi Arabia,7.298,53.886
,1980,7.015,63.012,6.217,66.295,Saudi Arabia,7.2780000000000005,58.69
,1985,6.217,66.295,5.446,68.768,Saudi Arabia,7.015,63.012
,1990,5.446,68.768,4.621,70.533,Saudi Arabia,6.217,66.295
,1995,4.621,70.533,3.81,71.626,Saudi Arabia,5.446,68.768
,2000,3.81,71.626,,,Saudi Arabia,4.621,70.533
,1955,6.5,47.985,6.3,49.951,South Africa,,
,1960,6.3,49.951,5.7,51.927,South Africa,6.5,47.985
,1965,5.7,51.927,5.47,53.696,South Africa,6.3,49.951
,1970,5.47,53.696,5.0,55.527,South Africa,5.7,51.927
,1975,5.0,55.527,4.556,58.161,South Africa,5.47,53.696
,1980,4.556,58.161,3.85,60.834,South Africa,5.0,55.527
,1985,3.85,60.834,3.343,61.888,South Africa,4.556,58.161
,1990,3.343,61.888,2.954,60.236,South Africa,3.85,60.834
,1995,2.954,60.236,2.802,53.365,South Africa,3.343,61.888
,2000,2.802,53.365,,,South Africa,2.954,60.236
,1955,2.75,66.66,2.89,69.69,Spain,,
,1960,2.89,69.69,2.92,71.44,Spain,2.75,66.66
,1965,2.92,71.44,2.86,73.06,Spain,2.89,69.69
,1970,2.86,73.06,2.5700000000000003,74.39,Spain,2.92,71.44
,1975,2.5700000000000003,74.39,1.8900000000000001,76.3,Spain,2.86,73.06
,1980,1.8900000000000001,76.3,1.48,76.9,Spain,2.5700000000000003,74.39
,1985,1.48,76.9,1.27,77.57,Spain,1.8900000000000001,76.3
,1990,1.27,77.57,1.182,78.77,Spain,1.48,76.9
,1995,1.182,78.77,1.287,79.78,Spain,1.27,77.57
,2000,1.287,79.78,,,Spain,1.182,78.77
,1955,2.34,70.56,2.51,71.32,Switzerland,,
,1960,2.51,71.32,2.27,72.77,Switzerland,2.34,70.56
,1965,2.27,72.77,1.82,73.78,Switzerland,2.51,71.32
,1970,1.82,73.78,1.53,75.39,Switzerland,2.27,72.77
,1975,1.53,75.39,1.53,76.21,Switzerland,1.82,73.78
,1980,1.53,76.21,1.53,77.41,Switzerland,1.53,75.39
,1985,1.53,77.41,1.54,78.03,Switzerland,1.53,76.21
,1990,1.54,78.03,1.47,79.37,Switzerland,1.53,77.41
,1995,1.47,79.37,1.415,80.62,Switzerland,1.54,78.03
,2000,1.415,80.62,,,Switzerland,1.47,79.37
,1955,6.6,48.079,6.19,52.098,Turkey,,
,1960,6.19,52.098,5.7,54.336,Turkey,6.6,48.079
,1965,5.7,54.336,5.3,57.005,Turkey,6.19,52.098
,1970,5.3,57.005,4.715,59.507,Turkey,5.7,54.336
,1975,4.715,59.507,4.15,61.036,Turkey,5.3,57.005
,1980,4.15,61.036,3.276,63.108,Turkey,4.715,59.507
,1985,3.276,63.108,2.904,66.146,Turkey,4.15,61.036
,1990,2.904,66.146,2.574,68.835,Turkey,3.276,63.108
,1995,2.574,68.835,2.23,70.845,Turkey,2.904,66.146
,2000,2.23,70.845,,,Turkey,2.574,68.835
,1955,2.49,70.42,2.81,70.76,United Kingdom,,
,1960,2.81,70.76,2.52,71.36,United Kingdom,2.49,70.42
,1965,2.52,71.36,2.04,72.01,United Kingdom,2.81,70.76
,1970,2.04,72.01,1.72,72.76,United Kingdom,2.52,71.36
,1975,1.72,72.76,1.8,74.04,United Kingdom,2.04,72.01
,1980,1.8,74.04,1.81,75.007,United Kingdom,1.72,72.76
,1985,1.81,75.007,1.78,76.42,United Kingdom,1.8,74.04
,1990,1.78,76.42,1.7000000000000002,77.218,United Kingdom,1.81,75.007
,1995,1.7000000000000002,77.218,1.695,78.471,United Kingdom,1.78,76.42
,2000,1.695,78.471,,,United Kingdom,1.7000000000000002,77.218
,1955,3.706,69.49,3.314,70.21,United States,,
,1960,3.314,70.21,2.545,70.76,United States,3.706,69.49
,1965,2.545,70.76,2.016,71.34,United States,3.314,70.21
,1970,2.016,71.34,1.788,73.38,United States,2.545,70.76
,1975,1.788,73.38,1.8250000000000002,74.65,United States,2.016,71.34
,1980,1.8250000000000002,74.65,1.924,75.02,United States,1.788,73.38
,1985,1.924,75.02,2.025,76.09,United States,1.8250000000000002,74.65
,1990,2.025,76.09,1.994,76.81,United States,1.924,75.02
,1995,1.994,76.81,2.038,77.31,United States,2.025,76.09
,2000,2.038,77.31,,,United States,1.994,76.81
,1955,6.4585,57.907,6.657,60.77,Venezuela,,
,1960,6.657,60.77,5.9045000000000005,63.479,Venezuela,6.4585,57.907
,1965,5.9045000000000005,63.479,4.941,65.712,Venezuela,6.657,60.77
,1970,4.941,65.712,4.4685,67.456,Venezuela,5.9045000000000005,63.479
,1975,4.4685,67.456,3.957,68.557,Venezuela,4.941,65.712
,1980,3.957,68.557,3.6485000000000003,70.19,Venezuela,4.4685,67.456
,1985,3.6485000000000003,70.19,3.25,71.15,Venezuela,3.957,68.557
,1990,3.25,71.15,2.9415,72.146,Venezuela,3.6485000000000003,70.19
,1995,2.9415,72.146,2.723,72.766,Venezuela,3.25,71.15
,2000,2.723,72.766,,,Venezuela,2.9415,72.146
